;M;F;?;Year;LAT;VERN;
20634;;;1;;1;;
20635;1;;;1100-t;1;;Qui scripsit valeat
20636;;;1;;1;;
20637;1;;;1270;1;;Scriptorem, si quis verbis reprobarit iniquis
20638;;;1;;;1;
20639;;;1;;;1;
20640;;;1;;;1;
20641;;;1;;;1;
20642;;;1;;;1;
20643;;;1;;;1;
20644;;;1;;;1;
20645;;;1;;;1;
20646;;;1;;;1;
20647;;;1;;;1;
20648;;;1;;;1;
20649;;;1;;;1;
20650;;1;;1461;;1;Dit boec wort gheeynt op sinte Clara ioncfrou hoer avent int iaer ons heren duysent vier hondert een ende tsestich.
20651;;;1;;;1;
20652;;1;;1451;;1;eynenvüftich des saterdachs na onser vrouwen vysentacien
20653;;;1;;;1;
20654;;;1;;;1;
20655;;;1;;;1;
20656;;;1;;1;;
20657;;;1;;;1;
20658;1;;;1412;1;;per quendam fratrem ordinis carthusiensis
20659;;;1;;1;;
20660;;;1;;1;;
20661;1;;;1300;1;;Dixit qui scripsit
20662;;;1;;;1;
20663;;;1;;;1;
20664;1;;;1200-t;1;;Sit pax scriptori
20665;;;1;;1;;
20666;;;1;;1;;
20667;1;;;1487;;1;(? Sjekk m/Aidan) Diet screef was een sympel clerck, Syvert Allerts zoen was sinen naem enz
20668;1;;;1433;1;;Scriptori requiem tribuat deus
20669;;;1;;1;;
20670;;;1;;1;;
20671;;;1;;1;;(sjekk m/Aidan
20672;;;1;;1;;
20673;;;1;;1;;
20674;;;1;;1;;
20675;;;1;;1;;
20676;1;;;9-1000-t;1;;Servus qui scripsit
20677;;;1;;1;;
20678;;;1;;1;;
20679;1;;;11-1200-t;1;;Dona scriptori
20680;1;;;1166;1;;Dona scriptori
20681;;;1;;1;;
20682;;;1;;1;;
20683;1;;;;1;;Qui scripsit hec scripta
20684;;;1;;1;;
20685;;;1;;1;;
20686;;;1;;1;;
20687;;;1;;1;1;
20688;;;1;;1;;
20689;;;1;;1;;(Ductrix sit penne, sancta Maria, mee)
20690;;;1;;1;;
20691;;;1;;1;;
20692;;;1;;1;;
20693;;;1;;1;;
20694;;;1;;1;;
20695;;;1;;1;;
20696;1;;;1100-t;1;;Durent scriptoris cum laudibus
20697;;;1;;;1;
20698;;;1;;;1;
20699;;;1;;1;;
20700;;;1;;1;;
20701;1;;;1400-t;1;;scriptori premia dentur
20702;;;1;;1;;
20703;;;1;;1;;
20704;;;1;;1;;
20705;;;1;;1;;
20706;;;1;;1;;
20707;;;1;;1;;
20708;;;1;;1;;
20709;1;;;11-1200-t;1;;Ego, qui hoc scripsi
20710;1;;;1400;1;;Ego quidem qui scripsi 
